Season/Team,is_goalie,Passing,Receiving,Frequency,Passing_Sum_Frequency,Pass Probability,player_id_x,season_starts_x,average_location_x,row_id_x,player_id_y,season_starts_y,average_location_y,row_id_y,pass_completed,source,target,source_x,source_y,target_x,target_y
La Liga 2020/2021 Barcelona,0,Jordi Alba Ramos,Sergio Busquets i Burgos,243.0,1802.0,0.134850166,5211,33,"[64.3328934010153, 13.335837563451763]",0,5203,30,"[60.64644268774705, 41.794762845849824]",3,1.8127340823970037,Jordi Alba Ramos,Sergio Busquets i Burgos,0.5361074450084609,0.16669796954314703,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Lionel Andrés Messi Cuccittini,501.0,1855.0,0.270080863,5203,30,"[60.64644268774705, 41.794762845849824]",3,5503,33,"[76.28396674584323, 45.30712589073629]",1,3.745318352059925,Sergio Busquets i Burgos,Lionel Andrés Messi Cuccittini,0.505387022397892,0.5224345355731228,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Jordi Alba Ramos,213.0,1648.5,0.129208371,5503,33,"[76.28396674584323, 45.30712589073629]",1,5211,33,"[64.3328934010153, 13.335837563451763]",0,1.5880149812734083,Lionel Andrés Messi Cuccittini,Jordi Alba Ramos,0.6356997228820269,0.5663390736342035,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Pedro González López,Jordi Alba Ramos,274.0,1234.0,0.222042139,30486,26,"[70.47105643994209, 33.34645441389291]",7,5211,33,"[64.3328934010153, 13.335837563451763]",0,2.044943820224719,Pedro González López,Jordi Alba Ramos,0.5872588036661841,0.4168306801736613,0.5361074450084609,0.16669796954314703
La Liga 2020/2021 Barcelona,0,Clément Lenglet,Sergio Busquets i Burgos,227.0,1700.0,0.133529412,6826,28,"[48.21802325581388, 24.019534883720908]",6,5203,30,"[60.64644268774705, 41.794762845849824]",3,1.692883895131086,Clément Lenglet,Sergio Busquets i Burgos,0.40181686046511567,0.3002441860465114,0.505387022397892,0.5224345355731228
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Lionel Andrés Messi Cuccittini,52.0,814.0,0.063882064,5213,18,"[44.90674157303369, 46.00134831460674]",10,5503,33,"[76.28396674584323, 45.30712589073629]",1,0.38202247191011235,Gerard Piqué Bernabéu,Lionel Andrés Messi Cuccittini,0.3742228464419474,0.5750168539325842,0.6356997228820269,0.5663390736342035
La Liga 2020/2021 Barcelona,0,Lionel Andrés Messi Cuccittini,Gerard Piqué Bernabéu,35.0,1648.5,0.021231423,5503,33,"[76.28396674584323, 45.30712589073629]",1,5213,18,"[44.90674157303369, 46.00134831460674]",10,0.2546816479400749,Lionel Andrés Messi Cuccittini,Gerard Piqué Bernabéu,0.6356997228820269,0.5663390736342035,0.3742228464419474,0.5750168539325842
La Liga 2020/2021 Barcelona,0,Gerard Piqué Bernabéu,Clément Lenglet,290.0,814.0,0.356265356,5213,18,"[44.90674157303369, 46.00134831460674]",10,6826,28,"[48.21802325581388, 24.019534883720908]",6,2.1647940074906367,Gerard Piqué Bernabéu,Clément Lenglet,0.3742228464419474,0.5750168539325842,0.40181686046511567,0.3002441860465114
La Liga 2020/2021 Barcelona,0,Sergio Busquets i Burgos,Antoine Griezmann,110.0,1855.0,0.059299191,5203,30,"[60.64644268774705, 41.794762845849824]",3,5487,29,"[74.46686626746508, 37.307984031936144]",5,0.8164794007490637,Sergio Busquets i Burgos,Antoine Griezmann,0.505387022397892,0.5224345355731228,0.6205572188955423,0.4663498003992018
La Liga 2020/2021 Barcelona,0,Antoine Griezmann,Lionel Andrés Messi Cuccittini,170.0,932.0,0.182403433,5487,29,"[74.46686626746508, 37.307984031936144]",5,5503,33,"[76.28396674584323, 45.30712589073629]",1,1.2659176029962547,Antoine Griezmann,Lionel Andrés Messi Cuccittini,0.6205572188955423,0.4663498003992018,0.6356997228820269,0.5663390736342035
